wave,flux,error
6359.064,1.486e-12,4.323e-15
6363.467,1.489e-12,4.331e-15
6367.870,1.499e-12,4.347e-15
6372.274,1.496e-12,4.344e-15
6376.678,1.487e-12,4.333e-15
6381.081,1.504e-12,4.357e-15
6385.485,1.484e-12,4.330e-15
6389.889,1.474e-12,4.316e-15
6394.293,1.484e-12,4.333e-15
6398.697,1.453e-12,4.289e-15
6403.101,1.462e-12,4.301e-15
6407.506,1.442e-12,4.275e-15
6411.910,1.440e-12,4.272e-15
6416.314,1.444e-12,4.281e-15
6420.719,1.441e-12,4.278e-15
6425.124,1.452e-12,4.296e-15
6429.528,1.468e-12,4.317e-15
6433.933,1.448e-12,4.291e-15
6438.338,1.465e-12,4.317e-15
6442.743,1.466e-12,4.319e-15
6447.149,1.478e-12,4.338e-15
6451.554,1.456e-12,4.303e-15
6455.959,1.461e-12,4.314e-15
6460.365,1.441e-12,4.289e-15
6464.770,1.450e-12,4.305e-15
6469.176,1.432e-12,4.275e-15
6473.581,1.456e-12,4.315e-15
6477.987,1.438e-12,4.292e-15
6482.393,1.424e-12,4.272e-15
6486.799,1.420e-12,4.267e-15
6491.205,1.421e-12,4.271e-15
6495.611,1.395e-12,4.230e-15
6500.018,1.393e-12,4.230e-15
6504.424,1.419e-12,4.274e-15
6508.831,1.424e-12,4.280e-15
6513.237,1.434e-12,4.297e-15
6517.644,1.432e-12,4.300e-15
6522.050,1.420e-12,4.277e-15
6526.457,1.446e-12,4.319e-15
6530.864,1.431e-12,4.301e-15
6535.271,1.420e-12,4.287e-15
6539.678,1.414e-12,4.272e-15
6544.085,1.399e-12,4.258e-15
6548.493,1.397e-12,4.259e-15
6552.900,1.333e-12,4.162e-15
6557.307,1.267e-12,4.062e-15
6561.715,1.216e-12,3.981e-15
6566.122,1.195e-12,3.954e-15
6570.530,1.226e-12,4.004e-15
6574.938,1.292e-12,4.111e-15
6579.346,1.323e-12,4.162e-15
6583.754,1.352e-12,4.202e-15
6588.161,1.353e-12,4.208e-15
6592.570,1.354e-12,4.207e-15
6596.978,1.356e-12,4.221e-15
