wave,flux,error
5594.766,2.146e-11,6.145e-14
5599.146,2.163e-11,6.164e-14
5603.527,2.165e-11,6.169e-14
5607.907,2.176e-11,6.185e-14
5612.287,2.158e-11,6.159e-14
5616.668,2.165e-11,6.169e-14
5621.049,2.160e-11,6.162e-14
5625.430,2.152e-11,6.149e-14
5629.811,2.142e-11,6.140e-14
5634.192,2.139e-11,6.135e-14
5638.574,2.106e-11,6.088e-14
5642.955,2.097e-11,6.077e-14
5647.337,2.080e-11,6.055e-14
5651.719,2.009e-11,5.951e-14
5656.101,1.999e-11,5.939e-14
5660.483,1.985e-11,5.920e-14
5664.866,1.962e-11,5.889e-14
5669.248,1.966e-11,5.896e-14
5673.631,1.899e-11,5.799e-14
5678.014,1.885e-11,5.780e-14
5682.397,1.846e-11,5.721e-14
5686.780,1.837e-11,5.712e-14
5691.164,1.832e-11,5.709e-14
5695.547,1.772e-11,5.617e-14
5699.931,1.737e-11,5.561e-14
5704.315,1.723e-11,5.541e-14
5708.699,1.688e-11,5.487e-14
5713.083,1.688e-11,5.489e-14
5717.467,1.667e-11,5.462e-14
5721.852,1.677e-11,5.477e-14
5726.237,1.638e-11,5.416e-14
5730.621,1.611e-11,5.377e-14
5735.006,1.578e-11,5.321e-14
5739.392,1.534e-11,5.252e-14
5743.777,1.500e-11,5.196e-14
5748.162,1.484e-11,5.169e-14
5752.548,1.464e-11,5.141e-14
5756.934,1.462e-11,5.138e-14
5761.319,1.487e-11,5.186e-14
5765.705,1.496e-11,5.201e-14
5770.092,1.494e-11,5.200e-14
5774.478,1.521e-11,5.249e-14
5778.864,1.516e-11,5.240e-14
5783.251,1.588e-11,5.363e-14
5787.638,1.629e-11,5.431e-14
5792.025,1.685e-11,5.527e-14
5796.412,1.738e-11,5.614e-14
5800.799,1.835e-11,5.765e-14
5805.187,1.869e-11,5.819e-14
5809.574,1.954e-11,5.945e-14
5813.962,1.987e-11,6.000e-14
5818.350,2.037e-11,6.074e-14
5822.738,2.059e-11,6.105e-14
5827.126,2.105e-11,6.174e-14
5831.514,2.112e-11,6.185e-14
5835.902,2.155e-11,6.252e-14
5840.291,2.135e-11,6.221e-14
5844.680,2.154e-11,6.248e-14
5849.069,2.139e-11,6.228e-14
5853.458,2.133e-11,6.218e-14
5857.847,2.126e-11,6.212e-14
5862.236,2.147e-11,6.241e-14
5866.626,2.147e-11,6.246e-14
5871.015,2.149e-11,6.245e-14
5875.405,2.134e-11,6.227e-14
5879.795,2.076e-11,6.144e-14
5884.185,1.985e-11,6.011e-14
5888.575,1.962e-11,5.976e-14
5892.965,1.925e-11,5.922e-14
5897.356,1.929e-11,5.929e-14
5901.746,1.951e-11,5.968e-14
5906.137,1.911e-11,5.907e-14
5910.528,1.879e-11,5.863e-14
5914.919,1.890e-11,5.884e-14
5919.310,1.819e-11,5.781e-14
5923.701,1.781e-11,5.725e-14
5928.093,1.729e-11,5.647e-14
5932.484,1.694e-11,5.599e-14
5936.876,1.621e-11,5.485e-14
5941.268,1.603e-11,5.456e-14
5945.660,1.559e-11,5.392e-14
5950.052,1.555e-11,5.389e-14
5954.444,1.528e-11,5.353e-14
5958.836,1.525e-11,5.355e-14
5963.229,1.520e-11,5.351e-14
5967.622,1.556e-11,5.416e-14
5972.014,1.520e-11,5.363e-14
5976.407,1.537e-11,5.399e-14
5980.800,1.538e-11,5.402e-14
5985.193,1.569e-11,5.460e-14
5989.587,1.577e-11,5.481e-14
5993.980,1.599e-11,5.517e-14
5998.374,1.619e-11,5.556e-14
6002.768,1.645e-11,5.603e-14
6007.161,1.656e-11,5.625e-14
6011.555,1.695e-11,5.698e-14
6015.949,1.716e-11,5.731e-14
6020.344,1.761e-11,5.809e-14
6024.738,1.810e-11,5.891e-14
6029.133,1.825e-11,5.913e-14
6033.527,1.835e-11,5.933e-14
6037.922,1.837e-11,5.939e-14
6042.317,1.815e-11,5.903e-14
6046.712,1.796e-11,5.872e-14
6051.107,1.743e-11,5.791e-14
6055.502,1.714e-11,5.742e-14
6059.898,1.665e-11,5.666e-14
6064.293,1.630e-11,5.604e-14
6068.689,1.542e-11,5.454e-14
6073.085,1.483e-11,5.353e-14
6077.481,1.425e-11,5.248e-14
6081.877,1.405e-11,5.211e-14
6086.273,1.345e-11,5.102e-14
6090.669,1.328e-11,5.071e-14
6095.065,1.321e-11,5.063e-14
6099.462,1.279e-11,4.984e-14
6103.859,1.249e-11,4.929e-14
6108.255,1.184e-11,4.799e-14
6112.652,1.103e-11,4.639e-14
6117.049,1.044e-11,4.514e-14
6121.447,9.742e-12,4.367e-14
6125.844,8.602e-12,4.107e-14
6130.241,7.471e-12,3.841e-14
6134.639,6.776e-12,3.658e-14
6139.036,6.137e-12,3.487e-14
6143.434,5.922e-12,3.430e-14
6147.832,5.593e-12,3.341e-14
6152.230,5.522e-12,3.317e-14
6156.628,5.307e-12,3.261e-14
6161.026,5.166e-12,3.214e-14
6165.425,4.919e-12,3.138e-14
6169.823,4.657e-12,3.055e-14
6174.222,4.385e-12,2.973e-14
6178.620,4.113e-12,2.882e-14
6183.019,4.022e-12,2.859e-14
6187.418,3.794e-12,2.776e-14
6191.817,3.871e-12,2.806e-14
6196.216,3.925e-12,2.832e-14
6200.616,3.997e-12,2.850e-14
6205.015,4.179e-12,2.911e-14
6209.415,4.314e-12,2.965e-14
6213.814,4.564e-12,3.042e-14
6218.214,4.852e-12,3.137e-14
6222.614,5.156e-12,3.227e-14
6227.014,5.620e-12,3.367e-14
6231.414,6.112e-12,3.512e-14
6235.814,6.651e-12,3.663e-14
6240.214,7.762e-12,3.950e-14
6244.615,8.724e-12,4.187e-14
6249.015,9.518e-12,4.366e-14
6253.416,1.044e-11,4.576e-14
6257.817,1.124e-11,4.745e-14
6262.218,1.190e-11,4.886e-14
6266.619,1.274e-11,5.056e-14
6271.020,1.286e-11,5.083e-14
6275.421,1.356e-11,5.217e-14
6279.822,1.382e-11,5.272e-14
6284.224,1.442e-11,5.389e-14
6288.625,1.465e-11,5.433e-14
6293.027,1.489e-11,5.482e-14
6297.428,1.550e-11,5.598e-14
6301.830,1.563e-11,5.622e-14
6306.232,1.583e-11,5.663e-14
6310.634,1.590e-11,5.675e-14
6315.036,1.616e-11,5.725e-14
6319.439,1.625e-11,5.747e-14
6323.841,1.620e-11,5.746e-14
6328.244,1.642e-11,5.786e-14
6332.646,1.644e-11,5.796e-14
6337.049,1.673e-11,5.846e-14
6341.452,1.631e-11,5.781e-14
6345.854,1.646e-11,5.812e-14
6350.257,1.612e-11,5.758e-14
6354.661,1.611e-11,5.759e-14
6359.064,1.575e-11,5.702e-14
6363.467,1.594e-11,5.737e-14
6367.870,1.585e-11,5.731e-14
6372.274,1.592e-11,5.743e-14
6376.678,1.538e-11,5.651e-14
6381.081,1.542e-11,5.664e-14
6385.485,1.500e-11,5.593e-14
6389.889,1.514e-11,5.622e-14
6394.293,1.436e-11,5.485e-14
6398.697,1.430e-11,5.475e-14
6403.101,1.409e-11,5.437e-14
6407.506,1.373e-11,5.375e-14
6411.910,1.356e-11,5.345e-14
6416.314,1.315e-11,5.274e-14
6420.719,1.310e-11,5.266e-14
6425.124,1.326e-11,5.300e-14
6429.528,1.312e-11,5.278e-14
6433.933,1.331e-11,5.321e-14
6438.338,1.312e-11,5.290e-14
6442.743,1.342e-11,5.351e-14
6447.149,1.335e-11,5.346e-14
6451.554,1.352e-11,5.383e-14
6455.959,1.338e-11,5.360e-14
6460.365,1.340e-11,5.368e-14
