file,DATE-OBS,IMAGETYP,OBJECT
C:\SNU\2022_2\AO2\data\calibration-0007dk60.fit,2022-11-04T19:01:47,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk600.fit,2022-11-04T21:22:21,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0007dk900.fit,2022-11-04T23:23:12,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008bias.fit,2022-11-04T18:43:28,Bias Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk02.fit,2022-11-04T18:44:18,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk1.fit,2022-11-04T18:45:16,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk15.fit,2022-11-04T19:35:17,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk180.fit,2022-11-04T19:26:42,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk3.fit,2022-11-04T18:46:28,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk30.fit,2022-11-04T18:54:03,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk300.fit,2022-11-04T20:11:37,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk4.fit,2022-11-04T18:47:52,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk6.fit,2022-11-04T18:49:31,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk60.fit,2022-11-04T19:02:53,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk600.fit,2022-11-04T21:32:27,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0008dk900.fit,2022-11-04T23:38:17,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009bias.fit,2022-11-04T18:43:33,Bias Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk02.fit,2022-11-04T18:44:24,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk1.fit,2022-11-04T18:45:22,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk15.fit,2022-11-04T19:35:37,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk180.fit,2022-11-04T19:29:48,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk3.fit,2022-11-04T18:46:37,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk30.fit,2022-11-04T18:54:38,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk300.fit,2022-11-04T20:16:42,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk4.fit,2022-11-04T18:48:01,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk6.fit,2022-11-04T18:49:43,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk60.fit,2022-11-04T19:03:58,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk600.fit,2022-11-04T21:42:33,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\calibration-0009dk900.fit,2022-11-04T23:53:23,Dark Frame,calibration
C:\SNU\2022_2\AO2\data\jupiter_h-0001.fit,2022-11-04T10:22:48,Light Frame,jupiter_h
C:\SNU\2022_2\AO2\data\jupiter_h-0002.fit,2022-11-04T10:22:54,Light Frame,jupiter_h
C:\SNU\2022_2\AO2\data\jupiter_h-0003.fit,2022-11-04T10:22:59,Light Frame,jupiter_h
C:\SNU\2022_2\AO2\data\jupiter_h-0004.fit,2022-11-04T10:23:05,Light Frame,jupiter_h
C:\SNU\2022_2\AO2\data\jupiter_h-0005.fit,2022-11-04T10:23:11,Light Frame,jupiter_h
C:\SNU\2022_2\AO2\data\jupiter_v-0001.fit,2022-11-04T10:19:25,Light Frame,jupiter_v
C:\SNU\2022_2\AO2\data\jupiter_v-0002.fit,2022-11-04T10:19:30,Light Frame,jupiter_v
C:\SNU\2022_2\AO2\data\jupiter_v-0003.fit,2022-11-04T10:19:36,Light Frame,jupiter_v
C:\SNU\2022_2\AO2\data\jupiter_v-0004.fit,2022-11-04T10:19:42,Light Frame,jupiter_v
C:\SNU\2022_2\AO2\data\jupiter_v-0005.fit,2022-11-04T10:19:48,Light Frame,jupiter_v
C:\SNU\2022_2\AO2\data\neptune-0001.fit,2022-11-04T10:47:44,Light Frame,neptune
C:\SNU\2022_2\AO2\data\neptune-0002.fit,2022-11-04T10:48:19,Light Frame,neptune
C:\SNU\2022_2\AO2\data\neptune-0003.fit,2022-11-04T10:48:55,Light Frame,neptune
C:\SNU\2022_2\AO2\data\neptune-0004.fit,2022-11-04T10:49:30,Light Frame,neptune
C:\SNU\2022_2\AO2\data\neptune-0005.fit,2022-11-04T10:50:06,Light Frame,neptune
C:\SNU\2022_2\AO2\data\saturn_h-0001.fit,2022-11-04T10:01:16,Light Frame,saturn_h
C:\SNU\2022_2\AO2\data\saturn_h-0002.fit,2022-11-04T10:01:22,Light Frame,saturn_h
C:\SNU\2022_2\AO2\data\saturn_h-0003.fit,2022-11-04T10:01:29,Light Frame,saturn_h
C:\SNU\2022_2\AO2\data\saturn_h-0004.fit,2022-11-04T10:01:35,Light Frame,saturn_h
C:\SNU\2022_2\AO2\data\saturn_h-0005.fit,2022-11-04T10:01:42,Light Frame,saturn_h
C:\SNU\2022_2\AO2\data\saturn_h_real-0001.fit,2022-11-04T10:03:28,Light Frame,saturn_h_real
C:\SNU\2022_2\AO2\data\saturn_h_real-0002.fit,2022-11-04T10:03:34,Light Frame,saturn_h_real
C:\SNU\2022_2\AO2\data\saturn_h_real-0003.fit,2022-11-04T10:03:41,Light Frame,saturn_h_real
C:\SNU\2022_2\AO2\data\saturn_h_real-0004.fit,2022-11-04T10:03:48,Light Frame,saturn_h_real
C:\SNU\2022_2\AO2\data\saturn_h_real-0005.fit,2022-11-04T10:03:54,Light Frame,saturn_h_real
C:\SNU\2022_2\AO2\data\saturn_v-0001.fit,2022-11-04T10:05:30,Light Frame,saturn_v
C:\SNU\2022_2\AO2\data\saturn_v-0002.fit,2022-11-04T10:05:37,Light Frame,saturn_v
C:\SNU\2022_2\AO2\data\saturn_v-0003.fit,2022-11-04T10:05:44,Light Frame,saturn_v
C:\SNU\2022_2\AO2\data\saturn_v-0004.fit,2022-11-04T10:05:50,Light Frame,saturn_v
C:\SNU\2022_2\AO2\data\saturn_v-0005.fit,2022-11-04T10:05:57,Light Frame,saturn_v
C:\SNU\2022_2\AO2\data\titan-0001.fit,2022-11-04T10:30:51,Light Frame,titan
C:\SNU\2022_2\AO2\data\titan-0002.fit,2022-11-04T10:31:56,Light Frame,titan
C:\SNU\2022_2\AO2\data\titan-0003.fit,2022-11-04T10:33:02,Light Frame,titan
C:\SNU\2022_2\AO2\data\uranus-0001.fit,2022-11-04T12:32:38,Light Frame,uranus
C:\SNU\2022_2\AO2\data\uranus-0002.fit,2022-11-04T12:32:50,Light Frame,uranus
C:\SNU\2022_2\AO2\data\uranus-0003.fit,2022-11-04T12:33:01,Light Frame,uranus
C:\SNU\2022_2\AO2\data\uranus-0004.fit,2022-11-04T12:33:13,Light Frame,uranus
C:\SNU\2022_2\AO2\data\uranus-0005.fit,2022-11-04T12:33:24,Light Frame,uranus
