wave,flux,error
6073.085,4.095e-09,3.836e-12
6077.481,4.088e-09,3.833e-12
6081.877,4.068e-09,3.825e-12
6086.273,4.055e-09,3.821e-12
6090.669,4.025e-09,3.806e-12
6095.065,4.004e-09,3.797e-12
6099.462,3.996e-09,3.791e-12
6103.859,3.995e-09,3.792e-12
6108.255,3.982e-09,3.785e-12
6112.652,3.961e-09,3.775e-12
6117.049,3.951e-09,3.770e-12
6121.447,3.896e-09,3.744e-12
6125.844,3.846e-09,3.720e-12
6130.241,3.783e-09,3.690e-12
6134.639,3.741e-09,3.669e-12
6139.036,3.692e-09,3.645e-12
6143.434,3.667e-09,3.631e-12
6147.832,3.634e-09,3.615e-12
6152.230,3.592e-09,3.592e-12
6156.628,3.531e-09,3.562e-12
6161.026,3.491e-09,3.541e-12
6165.425,3.436e-09,3.513e-12
6169.823,3.409e-09,3.500e-12
6174.222,3.401e-09,3.494e-12
6178.620,3.350e-09,3.467e-12
6183.019,3.333e-09,3.460e-12
6187.418,3.317e-09,3.450e-12
6191.817,3.304e-09,3.443e-12
6196.216,3.316e-09,3.451e-12
6200.616,3.343e-09,3.465e-12
6205.015,3.374e-09,3.480e-12
6209.415,3.395e-09,3.492e-12
6213.814,3.437e-09,3.513e-12
6218.214,3.464e-09,3.527e-12
6222.614,3.486e-09,3.539e-12
6227.014,3.539e-09,3.566e-12
6231.414,3.572e-09,3.584e-12
6235.814,3.613e-09,3.605e-12
6240.214,3.634e-09,3.616e-12
6244.615,3.650e-09,3.625e-12
6249.015,3.681e-09,3.641e-12
6253.416,3.719e-09,3.661e-12
6257.817,3.741e-09,3.673e-12
6262.218,3.787e-09,3.698e-12
6266.619,3.803e-09,3.704e-12
6271.020,3.801e-09,3.706e-12
6275.421,3.762e-09,3.688e-12
6279.822,3.756e-09,3.686e-12
6284.224,3.765e-09,3.690e-12
6288.625,3.800e-09,3.710e-12
6293.027,3.796e-09,3.709e-12
6297.428,3.806e-09,3.715e-12
6301.830,3.806e-09,3.716e-12
6306.232,3.828e-09,3.727e-12
6310.634,3.817e-09,3.723e-12
6315.036,3.838e-09,3.735e-12
6319.439,3.837e-09,3.735e-12
6323.841,3.845e-09,3.741e-12
6328.244,3.862e-09,3.750e-12
6332.646,3.876e-09,3.758e-12
6337.049,3.878e-09,3.760e-12
6341.452,3.872e-09,3.759e-12
6345.854,3.873e-09,3.760e-12
6350.257,3.887e-09,3.769e-12
6354.661,3.873e-09,3.763e-12
6359.064,3.867e-09,3.761e-12
6363.467,3.868e-09,3.763e-12
6367.870,3.875e-09,3.768e-12
6372.274,3.891e-09,3.777e-12
6376.678,3.906e-09,3.787e-12
6381.081,3.915e-09,3.791e-12
6385.485,3.905e-09,3.789e-12
6389.889,3.872e-09,3.774e-12
6394.293,3.843e-09,3.761e-12
6398.697,3.821e-09,3.753e-12
6403.101,3.799e-09,3.743e-12
6407.506,3.788e-09,3.738e-12
6411.910,3.771e-09,3.731e-12
6416.314,3.757e-09,3.726e-12
6420.719,3.735e-09,3.716e-12
6425.124,3.738e-09,3.719e-12
6429.528,3.709e-09,3.707e-12
6433.933,3.659e-09,3.683e-12
6438.338,3.610e-09,3.660e-12
6442.743,3.565e-09,3.638e-12
6447.149,3.556e-09,3.635e-12
6451.554,3.568e-09,3.643e-12
6455.959,3.580e-09,3.651e-12
6460.365,3.586e-09,3.655e-12
6464.770,3.571e-09,3.650e-12
6469.176,3.552e-09,3.641e-12
6473.581,3.532e-09,3.633e-12
6477.987,3.539e-09,3.638e-12
6482.393,3.552e-09,3.646e-12
6486.799,3.537e-09,3.641e-12
6491.205,3.514e-09,3.631e-12
6495.611,3.506e-09,3.627e-12
6500.018,3.530e-09,3.642e-12
6504.424,3.562e-09,3.660e-12
6508.831,3.616e-09,3.690e-12
6513.237,3.650e-09,3.708e-12
6517.644,3.651e-09,3.711e-12
6522.050,3.654e-09,3.714e-12
6526.457,3.645e-09,3.711e-12
6530.864,3.665e-09,3.724e-12
6535.271,3.672e-09,3.728e-12
6539.678,3.649e-09,3.717e-12
6544.085,3.627e-09,3.709e-12
6548.493,3.575e-09,3.685e-12
